Symbol,Name,Sector,Industry
BOOT,Boot Barn Holdings Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BR,Broadridge Financial Solutions Inc. Common Stock,Consumer Discretionary,Business Services
BRBR,BellRing Brands Inc. Common Stock ,Consumer Staples,Beverages (Production/Distribution)
BRC,Brady Corporation Common Stock,Technology,Security Systems Services
BRO,Brown & Brown Inc. Common Stock,Finance,Specialty Insurers
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,Energy,Oil & Gas Production
BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments
BTU,Peabody Energy Corporation Common Stock ,Energy,Coal Mining
BWA,BorgWarner Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
BWXT,BWX Technologies Inc. Common Stock,,
BX,Blackstone Inc. Common Stock,Finance,Investment Managers
BXMT,Blackstone Mortgage Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BXP,Boston Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BYD,Boyd Gaming Corporation Common Stock,Consumer Discretionary,Movies/Entertainment
C,Citigroup Inc. Common Stock,Finance,Major Banks
CABO,Cable One Inc. Common Stock,Consumer Discretionary,Telecommunications Equipment
CACI,CACI International Inc. Class A Common Stock,Technology,EDP Services
CADE,Cadence Bank Common Stock,Finance,Major Banks
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Packaged Foods
CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals
CALX,Calix Inc Common Stock,Technology,Computer Software: Prepackaged Software
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
CBRE,CBRE Group Inc Common Stock Class A,Finance,Real Estate
CBT,Cabot Corporation Common Stock,Industrials,Specialty Chemicals
CBU,Community Bank System Inc. Common Stock,Finance,Major Banks
CBZ,CBIZ Inc. Common Stock,Consumer Discretionary,Business Services
CC,Chemours Company (The) Common Stock,Industrials,Industrial Specialties
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CCI,Crown Castle International Corp. (REIT) Common Stock,Real Estate,Real Estate Investment Trusts
CCK,Crown Holdings Inc.,Industrials,Containers/Packaging
CCL,Carnival Corporation Common Stock,,
CDAY,Ceridian HCM Holding Inc. Common Stock,Technology,EDP Services
CE,Celanese Corporation Celanese Corporation Common Stock,Industrials,Major Chemicals
CEQP,Crestwood Equity Partners LP,Energy,Oilfield Services/Equipment
CF,CF Industries Holdings Inc. Common Stock,Industrials,Agricultural Chemicals
CFG,Citizens Financial Group Inc. Common Stock,Finance,Major Banks
CFR,Cullen/Frost Bankers Inc. Common Stock,Finance,Major Banks
CHD,Church & Dwight Company Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CHE,Chemed Corp,Health Care,Medical/Nursing Services
CHH,Choice Hotels International Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
CHPT,ChargePoint Holdings Inc. Common Stock,Consumer Discretionary,Industrial Specialties
CI,Cigna Corporation Common Stock,Health Care,Medical Specialities
CIEN,Ciena Corporation Common Stock,Utilities,Telecommunications Equipment
CIVI,Civitas Resources Inc. Common Stock,Energy,Oil & Gas Production
CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CLF,Cleveland-Cliffs Inc. Common Stock,,
CLH,Clean Harbors Inc. Common Stock,,
CLR,Continental Resources Inc. Common Stock,Energy,Oil & Gas Production
CLX,Clorox Company (The) Common Stock,Consumer Discretionary,Specialty Chemicals
CMA,Comerica Incorporated Common Stock,Finance,Major Banks
CMC,Commercial Metals Company Common Stock,Industrials,Steel/Iron Ore
CMG,Chipotle Mexican Grill Inc. Common Stock,Consumer Discretionary,Restaurants
CMI,Cummins Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
CMS,CMS Energy Corporation Common Stock,Utilities,Power Generation
CNA,CNA Financial Corporation Common Stock,Finance,Property-Casualty Insurers
CNC,Centene Corporation Common Stock,Health Care,Medical Specialities
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
CNMD,CONMED Corporation Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNO,CNO Financial Group Inc. Common Stock,Finance,Life Insurance
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,Utilities,Electric Utilities: Central
CNR,Cornerstone Building Brands Inc. Common Stock,Industrials,Metal Fabrications
CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas Production
COF,Capital One Financial Corporation Common Stock,Finance,Finance Companies
COLD,Americold Realty Trust Inc. Common Stock,Finance,Real Estate
COO,The Cooper Companies Inc. Common Stock,Health Care,Ophthalmic Goods
COP,ConocoPhillips Common Stock,Energy,Integrated oil Companies
COTY,Coty Inc. Class A Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CPB,Campbell Soup Company Common Stock,Consumer Staples,Packaged Foods
CPE,Callon Petroleum Company Common Stock,Energy,Oil & Gas Production
CPK,Chesapeake Utilities Corporation Common Stock,Utilities,Oil & Gas Production
CPT,Camden Property Trust Common Stock,Real Estate,Real Estate Investment Trusts
CR,Crane Holdings Co. Common Stock,,
CRI,Carter's Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
CRK,Comstock Resources Inc. Common Stock,Energy,Oil & Gas Production
CRL,Charles River Laboratories International Inc. Common Stock,Consumer Discretionary,EDP Services
CRM,Salesforce Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CSL,Carlisle Companies Incorporated Common Stock,,
CTLT,Catalent Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CTRA,Coterra Energy Inc. Common Stock,Energy,Oil & Gas Production
CUBE,CubeSmart Common Shares,Real Estate,Real Estate Investment Trusts
CUK,Carnival Plc ADS ADS,,
CUZ,Cousins Properties Incorporated Common Stock,Real Estate,Real Estate Investment Trusts
CVI,CVR Energy Inc. Common Stock,Energy,Integrated oil Companies
CVNA,Carvana Co. Class A Common Stock,Consumer Discretionary,Other Specialty Stores
CVS,CVS Health Corporation Common Stock,Health Care,Managed Health Care
CVX,Chevron Corporation Common Stock,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation Common Stock,Industrials,Industrial Machinery/Components
CWEN,Clearway Energy Inc. Class C Common Stock,Utilities,Electric Utilities: Central
CWT,California Water Service Group Common Stock,Utilities,Water Supply
D,Dominion Energy Inc. Common Stock,Utilities,Electric Utilities: Central
DAL,Delta Air Lines Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
DAN,Dana Incorporated Common Stock ,Consumer Discretionary,Auto Parts:O.E.M.
DAR,Darling Ingredients Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),Technology,EDP Services
DBRG,DigitalBridge Group Inc.,Real Estate,Real Estate Investment Trusts
DCI,Donaldson Company Inc. Common Stock,Industrials,Pollution Control Equipment
DCP,DCP Midstream  LP Common Units ,Utilities,Natural Gas Distribution
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components
DECK,Deckers Outdoor Corporation Common Stock,Consumer Discretionary,Shoe Manufacturing
DEI,Douglas Emmett Inc. Common Stock,Real Estate,Real Estate Investment Trusts
DFS,Discover Financial Services Common Stock,Finance,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
DGX,Quest Diagnostics Incorporated Common Stock,Health Care,Medical Specialities
DHI,D.R. Horton Inc. Common Stock,,
DHR,Danaher Corporation Common Stock,Health Care,Medical Specialities
DINO,HF Sinclair Corporation Common Stock,Energy,Integrated oil Companies
DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,Movies/Entertainment
DK,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,Energy,Oil & Gas Production
DKS,Dick's Sporting Goods Inc Common Stock,Consumer Discretionary,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,Technology,EDP Services
DLR,Digital Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,Technology,EDP Services
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
DOV,Dover Corporation Common Stock,Industrials,Industrial Machinery/Components
DPZ,Domino's Pizza Inc Common Stock,Consumer Discretionary,Food Distributors
DRE,Duke Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
DRH,Diamondrock Hospitality Company Common Stock,Real Estate,Real Estate Investment Trusts
DRI,Darden Restaurants Inc. Common Stock,Consumer Discretionary,Restaurants
DT,Dynatrace Inc. Common Stock,Technology,EDP Services
DTE,DTE Energy Company Common Stock,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Power Generation
DVA,DaVita Inc. Common Stock,Health Care,Medical/Nursing Services
DVN,Devon Energy Corporation Common Stock,Energy,Oil & Gas Production
DY,Dycom Industries Inc. Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
EAF,GrafTech International Ltd. Common Stock,Consumer Discretionary,Metal Fabrications
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ED,Consolidated Edison Inc. Common Stock,Utilities,Power Generation
EFX,Equifax Inc. Common Stock,Finance,Advertising
EGP,EastGroup Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
EHC,Encompass Health Corporation Common Stock,Health Care,Medical Specialities
EIX,Edison International Common Stock,Utilities,Electric Utilities: Central
EL,Estee Lauder Companies Inc. (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ELAN,Elanco Animal Health Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELS,Equity Lifestyle Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ELY,Callaway Golf Company Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
EME,EMCOR Group Inc. Common Stock,Industrials,Engineering & Construction
EMN,Eastman Chemical Company Common Stock,Industrials,Major Chemicals
EMR,Emerson Electric Company Common Stock,Industrials,Industrial Machinery/Components
ENOV,Enovis Corporation Common Stock,Industrials,Fluid Controls
ENR,Energizer Holdings Inc. Common Stock,Industrials,Metal Fabrications
ENS,EnerSys Common Stock,Consumer Discretionary,Telecommunications Equipment
ENV,Envestnet Inc Common Stock,Technology,EDP Services
EOG,EOG Resources Inc. Common Stock,Energy,Oil & Gas Production
EPAM,EPAM Systems Inc. Common Stock,Technology,EDP Services
EPD,Enterprise Products Partners L.P. Common Stock,Utilities,Natural Gas Distribution
EPR,EPR Properties Common Stock,Real Estate,Real Estate Investment Trusts
EPRT,Essential Properties Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
EQH,Equitable Holdings Inc. Common Stock,,
EQR,Equity Residential Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
EQT,EQT Corporation Common Stock,Energy,Oil & Gas Production
ES,Eversource Energy (D/B/A) Common Stock,Utilities,Electric Utilities: Central
ESI,Element Solutions Inc. Common Stock,Industrials,Industrial Specialties
ESS,Essex Property Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ESTC,Elastic N.V. Ordinary Shares,Technology,Computer Software: Prepackaged Software
ET,Energy Transfer LP Common Units ,Utilities,Natural Gas Distribution
ETR,Entergy Corporation Common Stock,Utilities,Electric Utilities: Central
EVA,Enviva Inc. Common Stock,,
EVH,Evolent Health Inc Class A Common Stock,Health Care,Managed Health Care
EVR,Evercore Inc. Class A Common Stock,Finance,Investment Managers
EW,Edwards Lifesciences Corporation Common Stock,Health Care,Industrial Specialties
EXP,Eagle Materials Inc Common Stock,Industrials,Building Materials
EXR,Extra Space Storage Inc Common Stock,Real Estate,Real Estate Investment Trusts
F,Ford Motor Company Common Stock,Consumer Discretionary,Auto Manufacturing
FAF,First American Corporation (New) Common Stock,Finance,Specialty Insurers
FBC,Flagstar Bancorp Inc. Common Stock,Finance,Savings Institutions
FBHS,Fortune Brands Home & Security Inc. Common Stock,Consumer Discretionary,Building Products
FCN,FTI Consulting Inc. Common Stock,Consumer Discretionary,Professional Services
FCPT,Four Corners Property Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
FCX,Freeport-McMoRan Inc. Common Stock,Basic Materials,Metal Mining
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services
FE,FirstEnergy Corp. Common Stock,Utilities,Electric Utilities: Central
FHI,Federated Hermes Inc. Common Stock,Finance,Investment Managers
FHN,First Horizon Corporation Common Stock,Finance,Major Banks
FICO,Fair Isaac Corproation Common Stock,Technology,Computer Software: Prepackaged Software
FIS,Fidelity National Information Services Inc. Common Stock,Consumer Discretionary,Business Services
FIX,Comfort Systems USA Inc. Common Stock,Industrials,Engineering & Construction
FL,Foot Locker Inc.,Consumer Discretionary,Clothing/Shoe/Accessory Stores
FLO,Flowers Foods Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
FLR,Fluor Corporation Common Stock,Industrials,Oilfield Services/Equipment
FLS,Flowserve Corporation Common Stock,Industrials,Fluid Controls
FLT,FleetCor Technologies Inc. Common Stock,Technology,EDP Services
FMC,FMC Corporation Common Stock,Industrials,Agricultural Chemicals
FNB,F.N.B. Corporation Common Stock,Finance,Major Banks
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,Finance,Specialty Insurers
FOUR,Shift4 Payments Inc. Class A Common Stock,Technology,EDP Services
FR,First Industrial Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
FRC,FIRST REPUBLIC BANK Common Stock,Finance,Commercial Banks
FRT,Federal Realty Investment Trust Common Stock,Real Estate,Real Estate Investment Trusts
FSS,Federal Signal Corporation Common Stock,Technology,Industrial Machinery/Components
FUL,H. B. Fuller Company Common Stock,Industrials,Home Furnishings
FUN,Cedar Fair L.P. Common Stock,Consumer Discretionary,Movies/Entertainment
GATX,GATX Corporation Common Stock,Consumer Discretionary,Rental/Leasing Companies
GBCI,Glacier Bancorp Inc. Common Stock,Finance,Major Banks
GD,General Dynamics Corporation Common Stock,Industrials,Aerospace
GDDY,GoDaddy Inc. Class A Common Stock,Technology,EDP Services
GE,General Electric Company Common Stock,Consumer Discretionary,Metal Fabrications
GEF,Greif Inc. Class A Common Stock,,
GGG,Graco Inc. Common Stock,Industrials,Fluid Controls
GIS,General Mills Inc. Common Stock,Consumer Staples,Food Chains
GL,Globe Life Inc. Common Stock,Finance,Life Insurance
GLW,Corning Incorporated Common Stock,Technology,Industrial Machinery/Components
GM,General Motors Company Common Stock,Consumer Discretionary,Auto Manufacturing
GMED,Globus Medical Inc. Class A Common Stock,Health Care,Medical/Dental Instruments
GMS,GMS Inc. Common Stock,,
GNRC,Generac Holdlings Inc. Common Stock,Consumer Discretionary,Metal Fabrications
GOLF,Acushnet Holdings Corp. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
GPC,Genuine Parts Company Common Stock,Consumer Discretionary,Automotive Aftermarket
GPI,Group 1 Automotive Inc. Common Stock,Consumer Discretionary,Other Specialty Stores
GPK,Graphic Packaging Holding Company,Basic Materials,Paper
GPN,Global Payments Inc. Common Stock,Consumer Discretionary,Business Services
GPOR,Gulfport Energy Corporation Common Shares,Energy,Oil & Gas Production
GPS,Gap Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GS,Goldman Sachs Group Inc. (The) Common Stock,Finance,Investment Bankers/Brokers/Service
GTLS,Chart Industries Inc. Common Stock,Technology,Electrical Products
GWRE,Guidewire Software Inc. Common Stock,Technology,Computer Software: Prepackaged Software
GWW,W.W. Grainger Inc. Common Stock,Consumer Discretionary,Telecommunications Equipment
H,Hyatt Hotels Corporation Class A Common Stock,Consumer Discretionary,Hotels/Resorts
HAE,Haemonetics Corporation Common Stock,Health Care,Medical/Dental Instruments
HAL,Halliburton Company Common Stock,Energy,Oil & Gas Production
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc. Common Stock,Real Estate,Real Estate Investment Trusts
HBI,Hanesbrands Inc. Common Stock,Consumer Discretionary,Apparel
HCA,HCA Healthcare Inc. Common Stock,Health Care,Hospital/Nursing Management
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials
HE,Hawaiian Electric Industries Inc. Common Stock,Utilities,Power Generation
HEI,Heico Corporation Common Stock,Industrials,Military/Government/Technical
HEP,Holly Energy Partners L.P. Common Stock,,
HES,Hess Corporation Common Stock,Energy,Oil & Gas Production
HHC,Howard Hughes Corporation (The) Common Stock,Real Estate,Real Estate Investment Trusts
HI,Hillenbrand Inc Common Stock,Consumer Discretionary,Consumer Specialties
HIG,Hartford Financial Services Group Inc. (The) Common Stock,Finance,Property-Casualty Insurers
HII,Huntington Ingalls Industries Inc. Common Stock,Industrials,Metal Fabrications
HIW,Highwoods Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
HL,Hecla Mining Company Common Stock,Basic Materials,Precious Metals
HLI,Houlihan Lokey Inc. Class A Common Stock,Finance,Investment Managers
HLIO,Helios Technologies Inc. Common Stock,Industrials,Fluid Controls
HOG,Harley-Davidson Inc. Common Stock,Consumer Discretionary,Motor Vehicles
HOMB,Home BancShares Inc. Common Stock,Finance,Major Banks
HP,Helmerich & Payne Inc. Common Stock,Energy,Oil & Gas Production
HPE,Hewlett Packard Enterprise Company Common Stock,Telecommunications,Telecommunications Equipment
HPP,Hudson Pacific Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
HPQ,HP Inc. Common Stock,Technology,Computer Manufacturing
HR,Healthcare Realty Trust Incorporated Common Stock,Real Estate,Real Estate Investment Trusts
HRB,H&R Block Inc. Common Stock,Consumer Discretionary,Other Consumer Services
HRL,Hormel Foods Corporation Common Stock,Consumer Staples,Meat/Poultry/Fish
HSY,The Hershey Company Common Stock,Consumer Staples,Specialty Foods
HTA,Healthcare Trust of America Inc. Class A Common Stock,Real Estate,Real Estate Investment Trusts
HTH,Hilltop Holdings Inc.,Finance,Major Banks
HUBB,Hubbell Inc Common Stock,Technology,Industrial Machinery/Components
HUBS,HubSpot Inc. Common Stock,Technology,Computer Software: Prepackaged Software
HUM,Humana Inc. Common Stock,Health Care,Medical Specialities
HUN,Huntsman Corporation Common Stock,Industrials,Major Chemicals
HWM,Howmet Aerospace Inc. Common Stock,Industrials,Industrial Machinery/Components
HXL,Hexcel Corporation Common Stock,Industrials,Industrial Machinery/Components
IBM,International Business Machines Corporation Common Stock,Technology,EDP Services
ICE,Intercontinental Exchange Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
IDA,IDACORP Inc. Common Stock,Utilities,Electric Utilities: Central
IEX,IDEX Corporation Common Stock,Industrials,Fluid Controls
IFF,International Flavors & Fragrances Inc. Common Stock,Industrials,Major Chemicals
IGT,International Game Technology Ordinary Shares,Consumer Discretionary,Movies/Entertainment
IIPR,Innovative Industrial Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
INGR,Ingredion Incorporated Common Stock,Consumer Staples,Farming/Seeds/Milling
INSP,Inspire Medical Systems Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
INVH,Invitation Homes Inc. Common Stock,Real Estate,Real Estate Investment Trusts
